,osmid_start,x_start,y_start,osmid_end,x_end,y_end,Time
6984,66445820,-71.0938114,42.4378185,987868283,-71.0824691,42.4039368,8:30
6985,66445820,-71.0938114,42.4378185,987868283,-71.0824691,42.4039368,15:30
6986,66445820,-71.0938114,42.4378185,987868283,-71.0824691,42.4039368,17:30
6987,66437756,-71.0911943,42.4268735,66425640,-71.080642,42.406521,8:30
6988,66437756,-71.0911943,42.4268735,66425640,-71.080642,42.406521,15:30
6989,66437756,-71.0911943,42.4268735,66425640,-71.080642,42.406521,17:30
6990,66445763,-71.121871,42.41055,66421236,-71.077161,42.410616,8:30
6991,66445763,-71.121871,42.41055,66421236,-71.077161,42.410616,15:30
6992,66445763,-71.121871,42.41055,66421236,-71.077161,42.410616,17:30
6993,66435363,-71.11893,42.410403,66432319,-71.0906683,42.4406904,8:30
6994,66435363,-71.11893,42.410403,66432319,-71.0906683,42.4406904,15:30
6995,66435363,-71.11893,42.410403,66432319,-71.0906683,42.4406904,17:30
6996,66445763,-71.121871,42.41055,2472701511,-71.0826028,42.404764,8:30
6997,66445763,-71.121871,42.41055,2472701511,-71.0826028,42.404764,15:30
6998,66445763,-71.121871,42.41055,2472701511,-71.0826028,42.404764,17:30
6999,66474482,-71.124367,42.411962,66465564,-71.0835666,42.4049152,8:30
7000,66474482,-71.124367,42.411962,66465564,-71.0835666,42.4049152,15:30
7001,66474482,-71.124367,42.411962,66465564,-71.0835666,42.4049152,17:30
7002,66474496,-71.0943593,42.4341527,66465205,-71.0785387,42.4053011,8:30
7003,66474496,-71.0943593,42.4341527,66465205,-71.0785387,42.4053011,15:30
7004,66474496,-71.0943593,42.4341527,66465205,-71.0785387,42.4053011,17:30
7005,66446518,-71.0950397,42.4343548,66443549,-71.122337,42.410717,8:30
7006,66446518,-71.0950397,42.4343548,66443549,-71.122337,42.410717,15:30
7007,66446518,-71.0950397,42.4343548,66443549,-71.122337,42.410717,17:30
7008,66445131,-71.0908802,42.4110449,66459547,-71.121782,42.411549,8:30
7009,66445131,-71.0908802,42.4110449,66459547,-71.121782,42.411549,15:30
7010,66445131,-71.0908802,42.4110449,66459547,-71.121782,42.411549,17:30
7011,987868145,-71.0825717,42.4022054,66474482,-71.124367,42.411962,8:30
7012,987868145,-71.0825717,42.4022054,66474482,-71.124367,42.411962,15:30
7013,987868145,-71.0825717,42.4022054,66474482,-71.124367,42.411962,17:30
